rollout/ep_len_mean,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_rew_mean,train/value_loss,train/advantages,train/clip_range,train/learning_rate,train/explained_variance,train/n_updates,train/returns,train/policy_gradient_loss,train/std,train/entropy_loss,train/approx_kl,train/loss,train/clip_fraction
104.84,86,311,566,176128,-25.299352799999998,1.1301049024797976,-0.10877073556184769,0.2,0.0003,0.8137507885694504,850,-13.26397705078125,-0.013122439270955511,0.8575460314750671,-3.7259454011917112,0.010375393,0.3911868929862976,0.0947265625
105.07,87,314,566,178176,-24.94871483,4.8854320047423245,-0.7664448022842407,0.2,0.0003,-0.10189616680145264,860,-13.901561737060547,-0.009977511980105191,0.8668486475944519,-3.751592588424683,0.0053679137,0.5144415497779846,0.03828125
106.23,88,318,566,180224,-25.18983858,1.1939049178734422,-0.03615851700305939,0.2,0.0003,0.8129191398620605,870,-13.606634140014648,-0.013405726470227818,0.8657563328742981,-3.767880916595459,0.0093081165,0.40971580147743225,0.09873046875
104.58,89,321,566,182272,-24.95436887,0.9627179896458984,0.1498432755470276,0.2,0.0003,0.8816446661949158,880,-13.212952613830566,-0.009659738070331514,0.8560660481452942,-3.747503027319908,0.00928655,0.29217371344566345,0.107861328125
103.02,90,325,566,184320,-24.31114458,1.1559435740113257,0.14383867383003235,0.2,0.0003,0.8101990073919296,890,-13.035932540893555,-0.011790244792064187,0.8526105880737305,-3.7295459672808646,0.008572276,0.3620920181274414,0.090478515625
103.13,91,328,566,186368,-22.798524659999995,1.0622326670214535,0.12630204856395721,0.2,0.0003,0.8227941542863846,900,-12.506012916564941,-0.009806986263720318,0.8599490523338318,-3.7339507855474947,0.0077630547,0.33429989218711853,0.07294921875
99.38,92,332,566,188416,-22.363266559999996,0.8435153034515679,-0.10600581765174866,0.2,0.0003,0.860128179192543,910,-12.636871337890625,-0.012615402703522705,0.8612415790557861,-3.7477981999516485,0.009294944,0.38982510566711426,0.116845703125
100.76,93,335,566,190464,-22.727770879999998,0.8524726308882237,-0.38928359746932983,0.2,0.0003,0.8353879004716873,920,-13.094263076782227,-0.009995659231208265,0.8575977683067322,-3.746331962943077,0.009262513,0.46375519037246704,0.094775390625
104.58,94,339,567,192512,-23.357245029999998,0.7739936659112573,-0.12738922238349915,0.2,0.0003,0.8466282039880753,930,-13.471787452697754,-0.012925407475995599,0.8562278151512146,-3.7370538033545015,0.009071541,0.2768635153770447,0.10009765625
107.5,95,343,567,194560,-23.643804790000004,0.7761871448718012,-0.049260206520557404,0.2,0.0003,0.8864145278930664,940,-13.117927551269531,-0.012799404749239329,0.8547635078430176,-3.7320359043776987,0.011108135,0.2967430651187897,0.0919921875
108.38,96,346,567,196608,-23.940101549999998,0.7277313778176904,0.098844014108181,0.2,0.0003,0.8980351015925407,950,-13.36413860321045,-0.01415578840096714,0.8510634303092957,-3.724154136329889,0.009223106,0.2616046965122223,0.098779296875
111.96,97,350,567,198656,-24.183622619999998,0.596559855574742,0.13711225986480713,0.2,0.0003,0.8878756687045097,960,-13.137832641601562,-0.00931942694951431,0.8471189141273499,-3.711897225677967,0.008964572,0.18626603484153748,0.081201171875
114.87,98,353,567,200704,-24.26544566,0.6101341205649078,-0.164480060338974,0.2,0.0003,0.8951627612113953,970,-13.615340232849121,-0.011025068037997698,0.8327344059944153,-3.681777513772249,0.0071576214,0.17101049423217773,0.086962890625
112.71,99,357,567,202752,-23.89267096,0.6546673545613885,0.21665191650390625,0.2,0.0003,0.8937269821763039,980,-11.951558113098145,-0.010433536511845887,0.8289459347724915,-3.6495016530156135,0.0065138657,0.25477489829063416,0.068994140625
112.88,100,360,567,204800,-23.792771449999996,0.5995007707737386,-0.10154515504837036,0.2,0.0003,0.9004497453570366,990,-13.363021850585938,-0.016152740433608415,0.8264490962028503,-3.6412672363221645,0.010285649,0.18393217027187347,0.13818359375
117.07,101,364,567,206848,-30.100741250000006,0.7020829052664339,-0.09736799448728561,0.2,0.0003,0.8700856119394302,1000,-13.399036407470703,-0.014246446343895514,0.825864315032959,-3.632329376041889,0.008188883,0.16417589783668518,0.11396484375
117.73,102,367,568,208896,-29.990398169999995,15.808851163089276,-3.564920425415039,0.2,0.0003,-0.6972243785858154,1010,-15.442602157592773,-0.0053319868835387755,0.8233211636543274,-3.6272169806063177,0.005953382,1.2165392637252808,0.03955078125
116.61,103,371,568,210944,-30.38993166,1.0723625869490205,0.22400622069835663,0.2,0.0003,0.6086506843566895,1020,-12.203323364257812,-0.014149907854880439,0.8281000256538391,-3.633550103008747,0.008014627,0.3404763340950012,0.088818359375
117.57,104,374,568,212992,-31.302446579999994,1.3970521438866854,-0.7710423469543457,0.2,0.0003,0.7422609031200409,1030,-12.87602710723877,-0.01661229504243238,0.8234564661979675,-3.633404503762722,0.010296093,0.37401896715164185,0.11123046875
116.21,105,378,568,215040,-31.34302611,3.4393081745132803,-0.2271270453929901,0.2,0.0003,0.46680545806884766,1040,-14.177611351013184,-0.010098578373435885,0.8229804039001465,-3.6223511159420014,0.010317868,2.105799436569214,0.071533203125
112.64,106,381,568,217088,-25.05299932000001,1.6761738824658097,-0.3658156991004944,0.2,0.0003,0.7523930817842484,1050,-14.509512901306152,-0.012887710807990515,0.8206403851509094,-3.619152422249317,0.007100253,0.4272595942020416,0.093994140625
113.07,107,385,568,219136,-25.082267810000005,1.4922048510983585,0.44147396087646484,0.2,0.0003,0.7503500729799271,1060,-13.41180419921875,-0.011835323063860415,0.8253052830696106,-3.618786895275116,0.006297141,0.3579995632171631,0.0916015625
112.97,108,388,568,221184,-25.308440200000003,0.987414695136249,-0.05152236670255661,0.2,0.0003,0.7962072938680649,1070,-12.96911334991455,-0.01326890701748198,0.8204831480979919,-3.620818231254816,0.008877004,0.38441717624664307,0.090771484375
115.47,109,392,568,223232,-26.552014760000002,0.719793688133359,0.16924165189266205,0.2,0.0003,0.8672755360603333,1080,-13.019453048706055,-0.011996021936647594,0.8166378140449524,-3.603459260612726,0.0088059325,0.22980788350105286,0.103173828125
117.13,110,395,568,225280,-30.52009424,3.2970400022342803,-1.1490241289138794,0.2,0.0003,0.24468934535980225,1090,-14.839986801147461,-0.013260288586025126,0.8132564425468445,-3.5878598026931288,0.0080486,0.8585425615310669,0.0771484375
120.68,111,399,568,227328,-30.107946969999997,12.722121281549335,-2.647322654724121,0.2,0.0003,0.6006628572940826,1100,-16.335186004638672,-0.008202526151580968,0.8151809573173523,-3.5829268738627436,0.0064009777,1.320713758468628,0.0443359375
119.97,112,403,569,229376,-30.933957390000003,2.1056123336777093,0.3872426748275757,0.2,0.0003,0.6125103533267975,1110,-13.079069137573242,-0.01527801535303297,0.8114852905273438,-3.5789108477532863,0.009456364,0.45735636353492737,0.102294921875
