time/total_timesteps,time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/explained_variance,train/advantages,train/std,train/entropy_loss,train/loss,train/returns,train/value_loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate,train/clip_fraction
610304,8444,72,298,-2.99861216,102.0,-0.0085792606776522,0.0,0.042244959622621536,0.41977137327194214,-2.2002394914627077,0.008867628872394562,-0.7227954864501953,0.09035597876645625,0.2,2970,0.016641766,0.0003,0.192333984375
612352,8472,72,299,-2.96718385,102.0,-0.007656937767751515,0.0,-0.04106159508228302,0.415624737739563,-2.1662631846964358,0.04124874994158745,-0.7896629571914673,0.09436579766916112,0.2,2980,0.015370562,0.0003,0.16279296875
614400,8500,72,300,-2.931906880000001,102.0,-0.0017776322187273764,0.0,-0.04122740775346756,0.41406893730163574,-2.1331738874316217,0.040276817977428436,-0.7993506789207458,0.08641915144398808,0.2,2990,0.010677153,0.0003,0.15126953125
616448,8528,72,301,-2.9181909099999994,102.0,-0.011635628875228576,-1.1920928955078125e-07,0.002342509338632226,0.41041579842567444,-2.1064180858433246,0.016937803477048874,-0.7571479082107544,0.08478273214423097,0.2,3000,0.019970682,0.0003,0.198046875
618496,8556,72,302,-2.9047116000000006,102.0,-0.0033982965411269105,0.0,0.005272172391414642,0.4076971709728241,-2.0745779290795325,0.03619946539402008,-0.7109023332595825,0.08205175838666037,0.2,3010,0.012417952,0.0003,0.156982421875
620544,8584,72,303,-2.8851174799999995,102.0,-0.0062114060405292545,0.0,0.011811718344688416,0.4034615457057953,-2.0392991758883,0.05611519142985344,-0.7125317454338074,0.08505599085474387,0.2,3020,0.014445031,0.0003,0.1560546875
622592,8612,72,304,-2.8922399899999993,102.0,-0.009010624303482474,0.0,-0.03704819083213806,0.3988504111766815,-1.9946281861513853,0.02340444177389145,-0.7609297633171082,0.08823856360977515,0.2,3030,0.01478044,0.0003,0.15439453125
624640,8641,72,305,-2.91349251,102.0,-0.004874014289816842,0.0,0.039262183010578156,0.3943847417831421,-1.9549377899616958,0.014642182737588882,-0.7302573919296265,0.08447002345928922,0.2,3040,0.013327451,0.0003,0.173583984375
626688,8669,72,306,-2.92293068,102.0,-0.004584625814459287,0.0,0.025035079568624496,0.391358882188797,-1.915174252912402,0.04325501620769501,-0.7281336784362793,0.09049832732416689,0.2,3050,0.013397926,0.0003,0.159814453125
628736,8697,72,307,-2.94768085,102.0,-0.0052162321997457186,0.0,0.027049079537391663,0.3902355134487152,-1.8966289155185223,0.03180322423577309,-0.7041546106338501,0.08915719235665165,0.2,3060,0.0134717375,0.0003,0.170947265625
630784,8725,72,308,-2.9452043599999995,102.0,-0.004756732187524903,0.0,0.023602662608027458,0.38615506887435913,-1.871630598604679,0.01396440714597702,-0.7335384488105774,0.09638719176873564,0.2,3070,0.013960715,0.0003,0.16171875
632832,8753,72,309,-2.9675113799999995,102.0,-0.0066597411685506815,0.0,-0.029365649446845055,0.38743680715560913,-1.8560227412730455,0.046918049454689026,-0.7959279417991638,0.08759811710333451,0.2,3080,0.015937358,0.0003,0.1759765625
634880,8782,72,310,-2.96164428,102.0,-0.012279747924185357,0.0,-0.028898071497678757,0.3857702612876892,-1.8536951288580894,0.038847751915454865,-0.7836674451828003,0.09016681113280356,0.2,3090,0.016467905,0.0003,0.1748046875
636928,8810,72,311,-2.9603584499999998,102.0,-0.004747127466544043,-1.1920928955078125e-07,-0.024213245138525963,0.38772091269493103,-1.8539379455149174,0.011202007532119751,-0.7602386474609375,0.0846622254990507,0.2,3100,0.011736961,0.0003,0.15068359375
638976,8838,72,312,-2.9457614700000003,102.0,-0.0025500352196104357,-1.1920928955078125e-07,0.046195849776268005,0.38729968667030334,-1.8583051312714816,0.026419132947921753,-0.7164974808692932,0.08547309319255873,0.2,3110,0.012587196,0.0003,0.16083984375
641024,8866,72,313,-2.9393373299999994,102.0,-0.0013106662405334645,-1.1920928955078125e-07,-0.041049372404813766,0.383819043636322,-1.8332699187099935,0.07095938175916672,-0.7930604219436646,0.08384610344655812,0.2,3120,0.014665656,0.0003,0.167529296875
643072,8894,72,314,-2.91972347,102.0,-0.009345545757969375,0.0,0.0500202402472496,0.38019275665283203,-1.7973237067461014,0.036419160664081573,-0.6973753571510315,0.08618710465962068,0.2,3130,0.017065205,0.0003,0.18974609375
645120,8923,72,315,-2.9055331800000004,102.0,-0.008393770799739287,0.0,-0.02072255127131939,0.37598997354507446,-1.7591158226132393,0.03634694218635559,-0.792282223701477,0.08520293983165175,0.2,3140,0.019502081,0.0003,0.209521484375
647168,8951,72,316,-2.8816441799999994,102.0,-0.0023340960629866458,-1.1920928955078125e-07,0.03722338005900383,0.37684205174446106,-1.7365609001368285,0.019813373684883118,-0.7160969972610474,0.08341156690148636,0.2,3150,0.012475422,0.0003,0.14697265625
649216,8979,72,317,-2.8615584500000013,102.0,-0.007785775243246462,-1.1920928955078125e-07,-0.039460763335227966,0.3748496174812317,-1.7322920251637697,0.012010730803012848,-0.8045371174812317,0.08177303983247838,0.2,3160,0.017868908,0.0003,0.167431640625
651264,9007,72,318,-2.8434902499999994,102.0,-0.003811179932381492,0.0,-0.010151943191885948,0.3736833333969116,-1.7163625359535217,0.0442630797624588,-0.76301109790802,0.08473629076033831,0.2,3170,0.019549526,0.0003,0.188818359375
653312,9036,72,319,-2.82337691,102.0,-0.006470655232260469,0.0,0.015251676551997662,0.37357544898986816,-1.7118100963532925,0.05876120179891586,-0.7220100164413452,0.08436935168574564,0.2,3180,0.013929677,0.0003,0.152001953125
655360,9064,72,320,-2.8128897900000003,102.0,-0.005471848894376308,0.0,-0.03868665546178818,0.37157711386680603,-1.6986860632896423,0.019288666546344757,-0.7897759675979614,0.08413319087121636,0.2,3190,0.019032024,0.0003,0.195361328125
657408,9092,72,321,-2.8185206999999997,102.0,-0.005385271851992002,0.0,0.057195961475372314,0.36959484219551086,-1.6774512372910977,0.013053232803940773,-0.6551930904388428,0.08019268307252787,0.2,3200,0.01697475,0.0003,0.172509765625
659456,9120,72,322,-2.79776438,102.0,-0.0062129918776918204,-1.1920928955078125e-07,0.014736557379364967,0.3720801770687103,-1.6826535355299712,0.020120536908507347,-0.6864679455757141,0.08228278737515211,0.2,3210,0.012913976,0.0003,0.170361328125
661504,9148,72,323,-2.80085285,102.0,-0.008760973528842442,0.0,0.005037348717451096,0.3701578676700592,-1.6828451097011565,0.017347771674394608,-0.681983470916748,0.07568403559853323,0.2,3220,0.018284867,0.0003,0.201806640625
663552,9176,72,324,-2.8242697500000005,102.0,-0.005764354774146341,0.0,-0.04907925799489021,0.3669843077659607,-1.6528095718473197,0.04544743895530701,-0.7296391129493713,0.07802941991249099,0.2,3230,0.016256388,0.0003,0.18544921875
665600,9204,72,325,-2.8187318999999995,102.0,-0.00032081711397040634,0.0,-0.033836014568805695,0.36524060368537903,-1.6231306105852128,0.06807808578014374,-0.7171341180801392,0.07698578618001192,0.2,3240,0.013931712,0.0003,0.165234375
